"Material","ShaderGuid","ShaderName","ShaderCategory","DummyExporter"
"Assets\Material\MAT_Fruit_Banana_0.mat","0e6407883450cbf4e9c3026859ec9489","Custom/URP/UnlitRimWithShadows","Custom handwritten shader","True"
"Assets\Material\MAT_CrossRoad.mat","1ceaf634ce84f704b8b5a0f99b23f1d2","Shader Graphs/SH_FakeUnlit_Color","Custom Shader Graph export","True"
"Assets\Material\Mat_Island_Path.mat","1ceaf634ce84f704b8b5a0f99b23f1d2","Shader Graphs/SH_FakeUnlit_Color","Custom Shader Graph export","True"
"Assets\Material\MAT_Apple.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Blueberry.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Box.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Box_Sign.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Bridge_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Bridge_Wood.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_BridgePlanks.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Carrot.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Eggplant.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Fruit_Pear.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Rising_Block.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Rocks.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Strawberry.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MAT_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Blue.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Green.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Orange.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Purple.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Flash_Dissolve.mat","dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Ring_Dissolve.mat","dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Dust_2_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Dust_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Smoke_Dissolve.mat","73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Custom Shader Graph export","True"
"Assets\Material\MT_FX_Fake_Shadow_Sprite.mat","9cf57f5b5c17bca43bb20cb3c879ee09","Shader Graphs/SH_FX_Sprite_Multiply","Custom Shader Graph export","True"
"Assets\Material\MAT_Snake.mat","10e76ace7ddb58847956cef503574e39","Shader Graphs/SH_Snake","Custom Shader Graph export","True"
"Assets\Material\Mat_Island_Tile.mat","2c62bfcb30b61484a8e87d7d9562d252","Shader Graphs/SH_Tile_FakeUnlit","Custom Shader Graph export","True"
"Assets\Material\GladlyAcceptRegular-Wyjov SDF Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Brown Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Brown Inner Shadow Levels.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Brown Level Number.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Combo - Base.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Combo - BG.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular GreenShadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular HomeScreen Levels.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Progress Bar.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Purple Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Red Cartoon 02.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Red Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF 2 - purple cartoon 2.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF 2 - weekly purple background.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Blue Underlay Outline.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Blue Underlay.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Brown Red.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Dark Red.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Extra Bold - White Green.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Extra Bold.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Green Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Green Outline.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Navy Blue.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Orange Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Purple Cartoon Inner Shadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Purple Cartoon Play btn.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Red Cartoon Inner Shadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Red Cartoon Play btn.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Red Cartoon.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular SDF Red.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular Speechbubble.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular weekly blue.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular weekly orange.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\LuckiestGuy-Regular YellowShadow.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansArabic-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansBengali-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansHebrew-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansJP-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansKR-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSans-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansSC-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansTC-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\NotoSansThai-Regular Atlas Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline Shadow Glow Foil.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline Shadow SilverUsername.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline Shadow Whiteline.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Voodoo_Casual-Bold SDF Material.mat","a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-Black Atlas Material World.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-Black Atlas Material.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-Black Atlas Material_0.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-Black Atlas Material_1.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-GreenDark.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-OrangeDark.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Cairo-RedDark.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Atlas Material.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Light Bottom Big.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline Red.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline Shadow Big.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline Shadow.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\Outfit-Black Outline.mat","588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","TextMeshPro package shader","False"
"Assets\Material\TextMeshPro_Sprite.mat","ff8462b6e621a8345844621c94b3984b","TextMeshPro/Sprite","TextMeshPro package shader","False"
"Assets\Material\TextMeshPro_Sprite_0.mat","ff8462b6e621a8345844621c94b3984b","TextMeshPro/Sprite","TextMeshPro package shader","False"
"Assets\Material\MAT_DarkOverlayMasked.mat","cc77e64ea98b1094b9c2fbbce69fc9ed","JuicedUp/DarkOverlayMasked","Third-party/custom JuicedUp","False"
"Assets\Material\MAT_DarkOverlayStencilWriter.mat","916bf0c2fb6d9b04782025f3889591db","JuicedUp/DarkOverlayStencilWriter","Third-party/custom JuicedUp","False"
"Assets\Material\MAT_TailSegment_Plane.mat","d6d703ce50bdbbc45ad71f44812df2d1","Toony Colors Pro 2/Hybrid Shader 2","Third-party: Toony Colors Pro 2","True"
"Assets\Material\MAT_FX_Trail_Soft.mat","740585338c2f1b546a558c2b80305e3a","UI/Additive","UI/third-party UI shader","False"
"Assets\Material\MT_FX_UI_Particle_Additive.mat","740585338c2f1b546a558c2b80305e3a","UI/Additive","UI/third-party UI shader","False"
"Assets\Material\Particle_Add_MAT.mat","740585338c2f1b546a558c2b80305e3a","UI/Additive","UI/third-party UI shader","False"
"Assets\Material\UI-Effect-Shiny.mat","8e6402661a2946b489d8a8b5e9d65745","UI/Hidden/UI-Effect-Shiny","UI/third-party UI shader","False"
"Assets\Material\1Add_mat.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\lightray2_ADD.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\lightray3_ADD.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MAT_Gates.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MT_Confetti_UI.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MT_FX_Alpha_Blended.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MT_FX_Glow.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MT_FX_Particle_Additive.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MT_FX_Particle_Additive_0.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\MT_FX_Particle_Additive_SoftTrail.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\Particle_AB_MAT.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\Particle_Add_MAT_0.mat","0000000000000000f000000000000000","Unity built-in shader reference","Unity built-in shader","False"
"Assets\Material\Sprite-Unlit-Default.mat","e591da70890cbf747b6a1fcf8f46fdbd","Universal Render Pipeline/2D/Sprite-Unlit-Default","Unity URP package shader","False"
"Assets\Material\Lit.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Arrow_Switching.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Block.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Bush_1.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Bush_2.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Bush_3.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Bush_4.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Blue.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Green.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Orange.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Pink.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Purple.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Red.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Crate_Yellow.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Dock_Highlighted.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Apple_green.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Banana.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Blueberry.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Carrot.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Eggplant.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Peach_pink.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\Mat_Fruit_Pear_pink.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Fruit_Strawberry_red.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Gate.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Gate_Ball.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Ground_Bridge_Switchable_Down.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Ground_stop.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Roof.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_SwBridge_Floor.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Switch_Tube_Bridge.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\MAT_Tunnel_Hole.mat","2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Unity URP package shader","False"
"Assets\Material\circlestretchy_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\cloud_2x2_soft_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\confetti_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\leaf_3x3_AB.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\ParticlesUnlit.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\sparkle_ADD.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\sparkle2_ADD.mat","59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Unity URP package shader","False"
"Assets\Material\MAT_DeliveryPoint.mat","39e31a78d4bee624aa1398faf18d579b","Universal Render Pipeline/Unlit","Unity URP package shader","False"
"Assets\Material\MAT_SecretCollectible.mat","39e31a78d4bee624aa1398faf18d579b","Universal Render Pipeline/Unlit","Unity URP package shader","False"
"Assets\Material\MAT_SwitchingArrow.mat","39e31a78d4bee624aa1398faf18d579b","Universal Render Pipeline/Unlit","Unity URP package shader","False"
"Assets\Material\UIAdditive.mat","2f7155eab10066f408851ef296eba5ff","AssetKits/Additive","Unknown/custom shader","False"
