"ShaderGuid","ShaderName","ShaderFile","ShaderCategory","DummyExporter","MaterialCount","Materials"
"a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","TextMeshPro package shader","True","48","Assets\Material\GladlyAcceptRegular-Wyjov SDF Material.mat; Assets\Material\LuckiestGuy-Regular Atlas Material.mat; Assets\Material\LuckiestGuy-Regular Brown Cartoon.mat; Assets\Material\LuckiestGuy-Regular Brown Inner Shadow Levels.mat; Assets\Material\LuckiestGuy-Regular Brown Level Number.mat; Assets\Material\LuckiestGuy-Regular Combo - Base.mat; Assets\Material\LuckiestGuy-Regular Combo - BG.mat; Assets\Material\LuckiestGuy-Regular GreenShadow.mat; Assets\Material\LuckiestGuy-Regular HomeScreen Levels.mat; Assets\Material\LuckiestGuy-Regular Progress Bar.mat; Assets\Material\LuckiestGuy-Regular Purple Cartoon.mat; Assets\Material\LuckiestGuy-Regular Red Cartoon 02.mat; Assets\Material\LuckiestGuy-Regular Red Cartoon.mat; Assets\Material\LuckiestGuy-Regular SDF 2 - purple cartoon 2.mat; Assets\Material\LuckiestGuy-Regular SDF 2 - weekly purple background.mat; Assets\Material\LuckiestGuy-Regular SDF Blue Underlay Outline.mat; Assets\Material\LuckiestGuy-Regular SDF Blue Underlay.mat; Assets\Material\LuckiestGuy-Regular SDF Brown Red.mat; Assets\Material\LuckiestGuy-Regular SDF Dark Red.mat; Assets\Material\LuckiestGuy-Regular SDF Extra Bold - White Green.mat; Assets\Material\LuckiestGuy-Regular SDF Extra Bold.mat; Assets\Material\LuckiestGuy-Regular SDF Green Cartoon.mat; Assets\Material\LuckiestGuy-Regular SDF Green Outline.mat; Assets\Material\LuckiestGuy-Regular SDF Navy Blue.mat; Assets\Material\LuckiestGuy-Regular SDF Orange Cartoon.mat; Assets\Material\LuckiestGuy-Regular SDF Purple Cartoon Inner Shadow.mat; Assets\Material\LuckiestGuy-Regular SDF Purple Cartoon Play btn.mat; Assets\Material\LuckiestGuy-Regular SDF Red Cartoon Inner Shadow.mat; Assets\Material\LuckiestGuy-Regular SDF Red Cartoon Play btn.mat; Assets\Material\LuckiestGuy-Regular SDF Red Cartoon.mat; Assets\Material\LuckiestGuy-Regular SDF Red.mat; Assets\Material\LuckiestGuy-Regular Speechbubble.mat; Assets\Material\LuckiestGuy-Regular weekly blue.mat; Assets\Material\LuckiestGuy-Regular weekly orange.mat; Assets\Material\LuckiestGuy-Regular YellowShadow.mat; Assets\Material\NotoSans-Regular Atlas Material.mat; Assets\Material\NotoSansArabic-Regular Atlas Material.mat; Assets\Material\NotoSansBengali-Regular Atlas Material.mat; Assets\Material\NotoSansHebrew-Regular Atlas Material.mat; Assets\Material\NotoSansJP-Regular Atlas Material.mat; Assets\Material\NotoSansKR-Regular Atlas Material.mat; Assets\Material\NotoSansSC-Regular Atlas Material.mat; Assets\Material\NotoSansTC-Regular Atlas Material.mat; Assets\Material\NotoSansThai-Regular Atlas Material.mat; Assets\Material\Outfit-Black Outline Shadow Glow Foil.mat; Assets\Material\Outfit-Black Outline Shadow SilverUsername.mat; Assets\Material\Outfit-Black Outline Shadow Whiteline.mat; Assets\Material\Voodoo_Casual-Bold SDF Material.mat"
"2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","Unity URP package shader","True","31","Assets\Material\Lit.mat; Assets\Material\MAT_Arrow_Switching.mat; Assets\Material\MAT_Block.mat; Assets\Material\MAT_Bush_1.mat; Assets\Material\MAT_Bush_2.mat; Assets\Material\MAT_Bush_3.mat; Assets\Material\MAT_Bush_4.mat; Assets\Material\MAT_Crate_Blue.mat; Assets\Material\MAT_Crate_Green.mat; Assets\Material\MAT_Crate_Orange.mat; Assets\Material\MAT_Crate_Pink.mat; Assets\Material\MAT_Crate_Purple.mat; Assets\Material\MAT_Crate_Red.mat; Assets\Material\MAT_Crate_Yellow.mat; Assets\Material\MAT_Dock_Highlighted.mat; Assets\Material\Mat_Fruit_Apple_green.mat; Assets\Material\Mat_Fruit_Banana.mat; Assets\Material\Mat_Fruit_Blueberry.mat; Assets\Material\Mat_Fruit_Carrot.mat; Assets\Material\Mat_Fruit_Eggplant.mat; Assets\Material\Mat_Fruit_Peach_pink.mat; Assets\Material\Mat_Fruit_Pear_pink.mat; Assets\Material\MAT_Fruit_Strawberry_red.mat; Assets\Material\MAT_Gate.mat; Assets\Material\MAT_Gate_Ball.mat; Assets\Material\MAT_Ground_Bridge_Switchable_Down.mat; Assets\Material\MAT_Ground_stop.mat; Assets\Material\MAT_Roof.mat; Assets\Material\MAT_SwBridge_Floor.mat; Assets\Material\MAT_Switch_Tube_Bridge.mat; Assets\Material\MAT_Tunnel_Hole.mat"
"84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True","19","Assets\Material\MAT_Apple.mat; Assets\Material\MAT_Blueberry.mat; Assets\Material\MAT_Box.mat; Assets\Material\MAT_Box_Sign.mat; Assets\Material\MAT_BridgePlanks.mat; Assets\Material\Mat_Bridge_Switch.mat; Assets\Material\Mat_Bridge_Wood.mat; Assets\Material\MAT_Carrot.mat; Assets\Material\MAT_Eggplant.mat; Assets\Material\MAT_Fruit_Pear.mat; Assets\Material\Mat_Rising_Block.mat; Assets\Material\MAT_Rocks.mat; Assets\Material\MAT_Strawberry.mat; Assets\Material\MAT_Switch.mat; Assets\Material\Mat_Tunnel_Blue.mat; Assets\Material\Mat_Tunnel_Green.mat; Assets\Material\Mat_Tunnel_Orange.mat; Assets\Material\Mat_Tunnel_Purple.mat; Assets\Material\Mat_Tunnel_Switch.mat"
"588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","TextMeshPro package shader","True","13","Assets\Material\Cairo-Black Atlas Material World.mat; Assets\Material\Cairo-Black Atlas Material.mat; Assets\Material\Cairo-Black Atlas Material_0.mat; Assets\Material\Cairo-Black Atlas Material_1.mat; Assets\Material\Cairo-GreenDark.mat; Assets\Material\Cairo-OrangeDark.mat; Assets\Material\Cairo-RedDark.mat; Assets\Material\Outfit-Black Atlas Material.mat; Assets\Material\Outfit-Black Light Bottom Big.mat; Assets\Material\Outfit-Black Outline Red.mat; Assets\Material\Outfit-Black Outline Shadow Big.mat; Assets\Material\Outfit-Black Outline Shadow.mat; Assets\Material\Outfit-Black Outline.mat"
"0000000000000000f000000000000000","Unity built-in shader reference","","Unity built-in shader","False","12","Assets\Material\1Add_mat.mat; Assets\Material\lightray2_ADD.mat; Assets\Material\lightray3_ADD.mat; Assets\Material\MAT_Gates.mat; Assets\Material\MT_Confetti_UI.mat; Assets\Material\MT_FX_Alpha_Blended.mat; Assets\Material\MT_FX_Glow.mat; Assets\Material\MT_FX_Particle_Additive.mat; Assets\Material\MT_FX_Particle_Additive_0.mat; Assets\Material\MT_FX_Particle_Additive_SoftTrail.mat; Assets\Material\Particle_AB_MAT.mat; Assets\Material\Particle_Add_MAT_0.mat"
"59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","Unity URP package shader","True","7","Assets\Material\circlestretchy_AB.mat; Assets\Material\cloud_2x2_soft_AB.mat; Assets\Material\confetti_AB.mat; Assets\Material\leaf_3x3_AB.mat; Assets\Material\ParticlesUnlit.mat; Assets\Material\sparkle2_ADD.mat; Assets\Material\sparkle_ADD.mat"
"73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Alpha.shader","Custom Shader Graph export","True","3","Assets\Material\MT_FX_Dust_2_Dissolve.mat; Assets\Material\MT_FX_Dust_Dissolve.mat; Assets\Material\MT_FX_Smoke_Dissolve.mat"
"740585338c2f1b546a558c2b80305e3a","UI/Additive","Assets\Shader\UI_Additive.shader","UI/third-party UI shader","True","3","Assets\Material\MAT_FX_Trail_Soft.mat; Assets\Material\MT_FX_UI_Particle_Additive.mat; Assets\Material\Particle_Add_MAT.mat"
"39e31a78d4bee624aa1398faf18d579b","Universal Render Pipeline/Unlit","Assets\Shader\Universal Render Pipeline_Unlit.shader","Unity URP package shader","True","3","Assets\Material\MAT_DeliveryPoint.mat; Assets\Material\MAT_SecretCollectible.mat; Assets\Material\MAT_SwitchingArrow.mat"
"1ceaf634ce84f704b8b5a0f99b23f1d2","Shader Graphs/SH_FakeUnlit_Color","Assets\Shader\Shader Graphs_SH_FakeUnlit_Color.shader","Custom Shader Graph export","True","2","Assets\Material\MAT_CrossRoad.mat; Assets\Material\Mat_Island_Path.mat"
"dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Additive.shader","Custom Shader Graph export","True","2","Assets\Material\MT_FX_Flash_Dissolve.mat; Assets\Material\MT_FX_Ring_Dissolve.mat"
"ff8462b6e621a8345844621c94b3984b","TextMeshPro/Sprite","Assets\Shader\TextMeshPro_Sprite.shader","TextMeshPro package shader","True","2","Assets\Material\TextMeshPro_Sprite.mat; Assets\Material\TextMeshPro_Sprite_0.mat"
"2f7155eab10066f408851ef296eba5ff","AssetKits/Additive","Assets\Shader\AssetKits_Additive.shader","Unknown/custom shader","True","1","Assets\Material\UIAdditive.mat"
"0e6407883450cbf4e9c3026859ec9489","Custom/URP/UnlitRimWithShadows","Assets\Shader\Custom_URP_UnlitRimWithShadows.shader","Custom handwritten shader","True","1","Assets\Material\MAT_Fruit_Banana_0.mat"
"cc77e64ea98b1094b9c2fbbce69fc9ed","JuicedUp/DarkOverlayMasked","Assets\Shader\JuicedUp_DarkOverlayMasked.shader","Third-party/custom JuicedUp","True","1","Assets\Material\MAT_DarkOverlayMasked.mat"
"916bf0c2fb6d9b04782025f3889591db","JuicedUp/DarkOverlayStencilWriter","Assets\Shader\JuicedUp_DarkOverlayStencilWriter.shader","Third-party/custom JuicedUp","True","1","Assets\Material\MAT_DarkOverlayStencilWriter.mat"
"9cf57f5b5c17bca43bb20cb3c879ee09","Shader Graphs/SH_FX_Sprite_Multiply","Assets\Shader\Shader Graphs_SH_FX_Sprite_Multiply.shader","Custom Shader Graph export","True","1","Assets\Material\MT_FX_Fake_Shadow_Sprite.mat"
"10e76ace7ddb58847956cef503574e39","Shader Graphs/SH_Snake","Assets\Shader\Shader Graphs_SH_Snake.shader","Custom Shader Graph export","True","1","Assets\Material\MAT_Snake.mat"
"2c62bfcb30b61484a8e87d7d9562d252","Shader Graphs/SH_Tile_FakeUnlit","Assets\Shader\Shader Graphs_SH_Tile_FakeUnlit.shader","Custom Shader Graph export","True","1","Assets\Material\Mat_Island_Tile.mat"
"d6d703ce50bdbbc45ad71f44812df2d1","Toony Colors Pro 2/Hybrid Shader 2","Assets\Shader\Toony Colors Pro 2_Hybrid Shader 2.shader","Third-party: Toony Colors Pro 2","True","1","Assets\Material\MAT_TailSegment_Plane.mat"
"8e6402661a2946b489d8a8b5e9d65745","UI/Hidden/UI-Effect-Shiny","Assets\Shader\UI_Hidden_UI-Effect-Shiny.shader","UI/third-party UI shader","True","1","Assets\Material\UI-Effect-Shiny.mat"
"e591da70890cbf747b6a1fcf8f46fdbd","Universal Render Pipeline/2D/Sprite-Unlit-Default","Assets\Shader\Universal Render Pipeline_2D_Sprite-Unlit-Default.shader","Unity URP package shader","True","1","Assets\Material\Sprite-Unlit-Default.mat"
